Drone,Time,North,East,Altitude,Vx,Vy
1, 0.00, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.00, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.00, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.01, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.01, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.01, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.02, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.02, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.02, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.03, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.03, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.03, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.04, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.04, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.04, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.05, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.05, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.05, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.06, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.06, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.06, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.07, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.07, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.07, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.08, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.08, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.08, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.09, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.09, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.09, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.10, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.10, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.10, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.11, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.11, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.11, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.12, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.12, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.12, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.13, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.13, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.13, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.14, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.14, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.14, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.15, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.15, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.15, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.16, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.16, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.16, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.17, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.17, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.17, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.18, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.18, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.18, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.19, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.19, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.19, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.20, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.20, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.20, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.21, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.21, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.21, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.22, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.22, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.22, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.23, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.23, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.23, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.24, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.24, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.24, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.25, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.25, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.25, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.26, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.26, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.26, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.27, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.27, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.27, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.28, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.28, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.28, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.29, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.29, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.29, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.30, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.30, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.30, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.31, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.31, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.31, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.32, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.32, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.32, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.33, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.33, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.33, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.34, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.34, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.34, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.35, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.35, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.35, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.36, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.36, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.36, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.37, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.37, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.37, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.38, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.38, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.38, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.39, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.39, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.39, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.40, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.40, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.40, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.41, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.41, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.41, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.42, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.42, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.42, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.43, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.43, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.43, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.44, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.44, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.44, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.45, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.45, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.45, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.46, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.46, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.46, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.47, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.47, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.47, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.48, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.48, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.48, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.49, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.49, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.49, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.50, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.50, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.50, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.51, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.51, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.51, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.52, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.52, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.52, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.53, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.53, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.53, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.54, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.54, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.54, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.55, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.55, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.55, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.56, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.56, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.56, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.57, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.57, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.57, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.58, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.58, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.58, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.59, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.59, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.59, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.60, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.60, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.60, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.61, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.61, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.61, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.62, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.62, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.62, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.63, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.63, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.63, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.64, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.64, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.64, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.65, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.65, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.65, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.66, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.66, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.66, -0.02, -0.09, -0.00, 0.71, 3.37
1, 0.67, 0.30, 0.68, -0.00, 0.26, 0.47
2, 0.67, 4.92, 50.21, -0.00, -2.49, -6.54
3, 0.67, -0.02, -0.09, -0.00, 0.71, 3.37
